gene_name number_of_transposon_per_gene number_of_read_per_gene
PMT1 42 499
YDL094C 24 357
PMT5 64 721
SRP14 12 178
UBX3 30 173
RAM1 10 23
NUR1 46 535
ASM4 24 164
LUC7 9 19
YDL086W 47 576
YDL086C-A 30 399
YDL085C-A 13 43
NDE2 46 867
SUB2 1 0
RPS16B 13 72
RPL13A 14 45
RPP1A 6 19
THI3 47 516
MRK1 64 451
MDH3 35 353
VAM6 18 51
RXT3 25 100
RPL31A 5 7
BRE1 14 47
YDL073W 40 270
YET3 13 52
YDL071C 57 496
BDF2 51 272
CBS1 14 70
YDL068W 9 40
COX9 3 2
IDP1 30 275
PEX19 28 174
UBC9 0 0
SYO1 40 389
YDL062W 8 29
RPS29B 3 3
TSR1 1 0
RAD59 32 290
USO1 36 340
YDL057W 43 365
MBP1 42 383
PSA1 0 0
MCH1 86 1050
PBP4 29 133
SLC1 60 753
LHP1 44 391
YDL050C 22 168
KNH1 45 511
STP4 71 908
SIT4 7 26
NPC2 20 104
MRP10 9 52
FAD1 1 0
MTF2 49 379
PRP11 3 13
SIR2 84 733
YDL041W 30 200
NAT1 44 467
PRM7 46 360
BSC1 27 189
PUS9 42 389
GPR1 60 494
YDL034W 5 14
SLM3 108 1527
YDL032W 17 128
DBP10 7 32
PRP9 14 74
ARP2 2 1
MPS1 11 51
YDL027C 40 302
YDL026W 31 219
RTK1 48 426
YDL025W-A 1 0
DIA3 73 638
YDL022C-A 28 373
YDL023C 18 194
GPD1 64 864
GPM2 66 618
RPN4 78 735
OSH2 213 3490
ERP3 35 312
CDC7 8 41
YDL016C 18 146
TSC13 1 0
NOP1 1 0
SLX5 44 199
YDL012C 66 942
YDL011C 43 438
GRX6 81 764
YDL009C 35 154
APC11 16 215
YDL007C-A 29 243
RPT2 3 11
PTC1 34 188
MED2 76 421
ATP16 35 232
MCD1 17 182
NHP10 94 1069
RMD1 257 6355
NTH1 383 6385
YRB1 4 18
RCR2 143 1756
YDR003W-A 21 84
RAD57 117 836
MAF1 31 314
SOK1 132 1171
TRP1 123 1457
YDR008C 113 1938
GAL3 140 2064
YDR010C 155 4660
SNQ2 219 2423
RPL4B 26 424
PSF1 3 7
RAD61 88 723
HED1 37 206
YDR015C 16 48
DAD1 5 22
KCS1 102 1024
YDR018C 152 2345
GCV1 109 1212
DAS2 80 1173
FAL1 2 13
ATG31 27 174
SES1 5 18
FYV1 80 770
RPS11A 9 25
NSI1 78 886
VPS54 34 317
REG1 45 432
YDR029W 20 120
RAD28 60 764
MIX14 8 55
PST2 35 208
MRH1 30 406
LYS14 29 127
YDR034C-A 6 19
YDR034W-B 17 68
ARO3 40 460
EHD3 52 636
KRS1 2 8
ENA5 29 279
ENA2 1 0
ENA1 18 100
RSM10 8 40
YDR042C 16 51
NRG1 16 106
HEM13 0 0
RPC11 0 0
BAP3 40 415
HEM12 1 0
YDR048C 26 273
VMS1 8 30
TPI1 1 0
DET1 32 288
DBF4 1 0
YDR053W 0 0
CDC34 3 2
PST1 48 247
YDR056C 19 178
YOS9 33 403
TGL2 20 111
UBC5 11 97
MAK21 21 170
YDR061W 53 327
LCB2 0 0
AIM7 10 57
RPS13 0 0
RRG1 22 183
RTR2 24 245
OCA6 16 194
DOS2 20 91
DOA4 1 0
FMP16 6 31
PAA1 9 34
IPT1 57 757
SNF11 24 230
TPS2 9 124
PPH3 15 94
RAD55 39 222
SED1 23 169
SHU2 20 115
PET100 9 67
TFB5 1 0
VPS41 8 13
PDC2 2 2
STN1 6 46
RRP8 23 87
TVP23 8 27
AFR1 28 370
SSS1 1 0
RRP1 1 0
SLU7 9 32
YDR089W 47 491
YDR090C 22 80
RLI1 0 0
UBC13 14 73
DNF2 233 2955
YDR094W 70 742
YDR095C 69 646
GIS1 41 311
MSH6 56 479
GRX3 19 121
BMH2 55 529
TVP15 29 188
ARX1 32 260
YDR102C 23 206
STE5 29 184
SPO71 36 257
TMS1 24 212
ARP10 22 178
TMN2 39 302
TRS85 19 206
YDR109C 27 220
FOB1 26 174
ALT2 44 317
IRC2 19 182
PDS1 13 75
YDR114C 12 199
YDR115W 6 22
MRPL1 11 74
TMA64 14 68
APC4 27 166
YDR118W-A 7 34
VBA4 57 572
COX26 3 17
TRM1 34 369
DPB4 9 113
KIN1 33 339
INO2 1 0
YDR124W 17 161
ECM18 23 171
SWF1 25 255
ARO1 12 29
MTC5 66 858
SAC6 9 27
FIN1 12 26
YDR131C 25 133
YDR132C 15 126
YDR133C 1 0
YCF1 25 237
VPS61 28 371
RGP1 18 92
HPR1 23 101
RUB1 9 25
MTQ2 6 42
DOP1 2 1
PEX7 16 195
SAN1 30 207
MKC7 26 220
TAF12 7 15
SWI5 34 178
EKI1 20 145
KGD2 14 155
YDR149C 4 3
NUM1 42 482
CTH1 17 88
GIR2 9 36
ENT5 23 167
YDR154C 2 1
CPR1 4 9
RPA14 16 115
YDR157W 39 368
HOM2 10 45
SAC3 16 93
SSY1 2 6
YDR161W 11 46
NBP2 5 9
CWC15 13 70
SEC1 0 0
TRM82 32 156
SEC5 39 283
TAF10 4 24
CDC37 2 1
STB3 10 56
YDR169C-A 4 25
SEC7 7 11
HSP42 13 45
SUP35 1 0
ARG82 0 0
HMO1 20 201
RSM24 19 96
NGG1 16 62
UBC1 0 0
SDH4 7 46
CSN9 5 15
YDR179W-A 13 40
SCC2 3 2
SAS4 21 201
CDC1 1 0
YDR182W-A 7 65
PLP1 17 172
YDR183C-A 13 70
ATC1 13 104
UPS3 14 125
YDR186C 25 158
YDR187C 10 19
CCT6 1 0
SLY1 1 0
RVB1 0 0
HST4 16 88
NUP42 22 120
YDR193W 11 40
MSS116 14 49
YDR194W-A 2 2
REF2 14 126
CAB5 1 0
CBS2 13 61
RKM2 20 109
YDR199W 6 22
VPS64 13 54
SPC19 2 1
RAV2 10 20
YDR203W 4 4
COQ4 15 97
MSC2 26 395
EBS1 33 285
UME6 31 110
MSS4 12 105
YDR209C 4 13
YDR210W 2 1
GCD6 0 0
TCP1 1 0
UPC2 46 440
AHA1 23 180
YDR215C 55 563
ADR1 24 195
RAD9 8 88
SPR28 19 63
MFB1 7 15
YDR220C 23 105
GTB1 51 450
YDR222W 13 112
CRF1 22 145
HTB1 1 0
HTA1 3 8
ADK1 6 36
SIR4 39 282
PCF11 3 5
IVY1 40 226
YDR230W 16 182
COX20 18 189
HEM1 1 0
RTN1 13 57
LYS4 14 101
PRP42 1 0
FMN1 0 0
MRPL7 18 113
SEC26 0 0
YDR239C 42 403
SNU56 5 70
BUD26 14 78
AMD2 21 139
PRP28 1 0
PEX5 19 167
MNN10 12 54
TRS23 9 56
YDR246W-A 43 840
VHS1 28 323
YDR248C 11 40
YDR249C 24 223
YDR250C 33 445
PAM1 24 95
BTT1 3 10
MET32 6 11
CHL4 11 40
RMD5 12 27
CTA1 57 610
RKM4 9 65
HSP78 14 225
YAP6 23 212
SWM1 60 639
EXG2 55 569
YDR262W 8 68
DIN7 24 210
AKR1 5 6
PEX10 7 25
HEL2 33 233
CIA1 2 1
MSW1 19 117
YDR269C 3 8
CCC2 34 340
YDR271C 9 107
GLO2 9 97
DON1 22 129
YDR274C 70 960
BSC2 9 46
PMP3 7 22
MTH1 15 122
YDR278C 15 137
RNH202 14 188
RRP45 1 0
PHM6 6 11
YDR282C 15 158
GCN2 36 278
DPP1 19 114
ZIP1 32 241
YDR286C 3 25
INM2 10 61
NSE3 0 0
RTT103 5 18
YDR290W 17 75
HRQ1 32 165
SRP101 1 0
SSD1 39 706
DPL1 28 219
HDA2 34 218
MHR1 9 50
SUR2 11 68
ATP5 4 6
BFR2 2 2
PRO1 2 1
CFT1 0 0
GPI11 2 1
RSC3 1 0
CPR5 12 90
HNT2 7 66
YDR306C 15 98
PMT7 22 201
SRB7 0 0
GIC2 16 84
SUM1 22 189
TFB1 5 8
SSF2 17 135
PIB1 20 282
RAD34 14 132
IPK1 3 12
OMS1 23 214
HIM1 19 146
MCM21 6 20
YFT2 10 21
SWA2 22 160
DAD4 0 0
YDR320W-B 13 129
ASP1 6 39
MRPL35 19 93
TIM11 1 0
PEP7 21 299
UTP4 3 5
YCG1 4 13
YSP2 48 557
YDR327W 4 38
SKP1 1 0
PEX3 15 76
UBX5 20 181
GPI8 3 4
IRC3 21 167
RQC1 17 121
SWR1 36 294
MSN5 17 55
YDR336W 24 195
MRPS28 20 119
YDR338C 43 438
FCF1 0 0
YDR340W 14 146
YDR341C 0 0
HXT7 0 0
HXT6 1 0
YDR344C 24 209
HXT3 29 300
SVF1 28 295
MRP1 16 114
PAL1 32 191
YPS7 24 151
ATP22 8 11
SBE2 22 134
YPQ2 25 135
TRR1 3 6
TRP4 14 93
YDR354C-A 0 0
YDR355C 0 0
SPC110 2 5
CNL1 20 83
GGA1 11 149
EAF1 18 185
OPI7 3 2
BCP1 0 0
TFC6 10 54
ESC2 20 130
SEM1 1 0
CDC40 4 6
ESF1 0 0
YDR366C 12 79
KEI1 5 10
YPR1 13 76
XRS2 40 295
DXO1 27 241
CTS2 17 143
YDR371C-A 0 0
VPS74 8 36
FRQ1 0 0
PHO92 15 140
WIP1 0 0
BCS1 26 145
ARH1 4 16
ATP17 3 5
LSM6 7 18
RGA2 35 337
