gene_name number_of_transposon_per_gene number_of_read_per_gene
DLD1 50 1724
PAR32 14 148
YDL172C 6 28
GLT1 105 3576
UGA3 34 870
UGX2 8 341
SFA1 21 577
NRP1 44 1088
FAP7 0 0
CDC36 0 0
CDC9 6 64
YDL163W 6 64
YDL162C 26 795
ENT1 21 389
MHF2 7 176
DHH1 3 17
YDL159W-A 12 192
STE7 30 1003
YDL159C-B 1 0
YDL158C 8 73
YDL157C 8 43
CMR1 70 2161
CLB3 15 166
MSH5 50 1506
SAS10 5 27
YDL152W 16 372
BUD30 2 5
RPC53 2 5
ATG9 21 139
NOP14 13 393
RPN5 2 2
LDB17 26 368
COP1 8 32
YDL144C 29 1163
CCT4 0 0
CRD1 22 411
BPL1 0 0
RPO21 3 2
SCM3 1 0
RGT2 47 1196
ARF2 15 610
RPL35B 5 75
RDI1 13 261
PPH21 14 203
RPL41B 2 3
SRF1 28 412
CDC53 10 236
LYS21 14 190
STF1 9 178
RPP1B 13 244
YDL129W 19 213
VCX1 31 677
PCL2 35 874
CDC48 2 1
HNT1 19 345
YDL124W 28 458
SNA4 21 511
UBP1 20 255
YDL121C 10 220
YFH1 0 0
YDL119C 19 227
YDL118W 4 33
CYK3 32 398
NUP84 5 4
IWR1 14 107
YDL114W-A 0 0
YDL114W 21 402
ATG20 26 756
TRM3 69 2327
RRP42 2 1
TMA17 19 304
YDL109C 63 1259
KIN28 4 58
MSS2 18 215
PHO2 22 567
NSE4 0 0
QRI7 24 402
QRI1 3 18
POL3 6 37
DUN1 40 615
GET3 10 150
BUG1 26 596
SNU23 4 11
RPN6 1 0
OPI6 12 314
PMT1 35 970
YDL094C 36 1072
PMT5 57 889
SRP14 6 95
UBX3 37 780
RAM1 8 84
NUR1 32 661
ASM4 29 477
LUC7 5 57
YDL086W 53 2942
YDL086C-A 36 1757
YDL085C-A 6 35
NDE2 57 2397
SUB2 1 0
RPS16B 18 198
RPL13A 16 210
RPP1A 4 37
THI3 26 541
MRK1 60 1062
MDH3 21 366
VAM6 3 7
RXT3 24 234
RPL31A 3 2
BRE1 4 4
YDL073W 25 460
YET3 7 14
YDL071C 46 522
BDF2 35 417
CBS1 11 103
YDL068W 6 49
COX9 0 0
IDP1 32 784
PEX19 32 426
UBC9 0 0
SYO1 36 554
YDL062W 10 128
RPS29B 3 2
TSR1 1 0
RAD59 26 274
USO1 34 916
YDL057W 48 1361
MBP1 33 543
PSA1 6 66
MCH1 85 3186
PBP4 23 118
SLC1 41 1072
LHP1 47 1057
YDL050C 18 402
KNH1 47 1460
STP4 81 2369
SIT4 4 21
NPC2 21 236
MRP10 3 2
