gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR274C 44 1027
BSC2 11 92
PMP3 2 1
MTH1 14 234
YDR278C 11 89
RNH202 10 60
RRP45 3 10
PHM6 5 5
YDR282C 14 156
GCN2 22 232
DPP1 14 175
ZIP1 19 127
YDR286C 4 6
INM2 12 43
NSE3 0 0
RTT103 3 13
YDR290W 6 6
HRQ1 21 264
SRP101 0 0
SSD1 35 545
DPL1 16 260
HDA2 10 94
MHR1 3 4
SUR2 7 93
ATP5 0 0
BFR2 0 0
PRO1 0 0
CFT1 0 0
GPI11 0 0
RSC3 1 0
CPR5 9 120
HNT2 4 47
YDR306C 8 143
PMT7 18 256
SRB7 0 0
GIC2 9 225
SUM1 13 97
TFB1 1 0
SSF2 18 430
PIB1 7 38
RAD34 15 86
IPK1 4 10
OMS1 17 197
HIM1 3 3
MCM21 2 4
YFT2 7 74
SWA2 5 19
DAD4 0 0
YDR320W-B 7 44
ASP1 9 55
MRPL35 6 59
TIM11 1 0
PEP7 10 60
UTP4 1 0
YCG1 2 1
YSP2 26 223
YDR327W 1 0
SKP1 2 3
PEX3 3 7
UBX5 9 36
GPI8 0 0
IRC3 20 163
RQC1 9 43
SWR1 18 85
MSN5 20 286
YDR336W 14 80
MRPS28 6 197
YDR338C 21 249
FCF1 0 0
YDR340W 4 6
YDR341C 0 0
HXT7 3 29
HXT6 0 0
YDR344C 23 285
HXT3 25 276
SVF1 17 261
MRP1 12 91
PAL1 28 270
YPS7 13 169
ATP22 9 26
SBE2 14 93
YPQ2 12 141
TRR1 0 0
TRP4 7 51
YDR354C-A 1 0
YDR355C 0 0
SPC110 0 0
CNL1 19 142
GGA1 11 158
EAF1 4 5
OPI7 1 0
BCP1 0 0
TFC6 3 4
ESC2 16 73
SEM1 2 1
CDC40 2 1
ESF1 1 0
YDR366C 5 12
KEI1 0 0
YPR1 12 76
XRS2 17 89
DXO1 8 22
CTS2 16 89
YDR371C-A 0 0
VPS74 3 2
FRQ1 0 0
PHO92 6 60
WIP1 0 0
BCS1 22 130
ARH1 0 0
ATP17 2 1
LSM6 0 0
RGA2 26 288
SDH6 5 6
ARO10 27 240
YRA1 1 0
YDR381C-A 2 1
RPP2B 3 3
NKP1 14 157
ATO3 12 257
EFT2 0 0
MUS81 15 168
YDR387C 9 33
RVS167 7 12
SAC7 21 113
UBA2 6 14
YDR391C 7 33
SPT3 5 41
SHE9 11 77
RPT3 0 0
SXM1 14 110
YDR396W 4 72
NCB2 3 61
UTP5 5 53
HPT1 12 51
URH1 9 109
YDR401W 11 144
DIT2 19 522
DIT1 15 94
RPB7 0 0
MRP20 31 418
PDR15 102 2046
YDR406W-A 3 4
TRS120 6 54
ADE8 0 0
SIZ1 14 178
STE14 11 229
DFM1 12 171
RRP17 0 0
YDR413C 0 0
ERD1 9 34
YDR415C 11 60
SYF1 7 44
YDR417C 0 0
RPL12B 1 0
RAD30 14 253
HKR1 19 240
ARO80 22 203
SIP1 12 120
CAD1 15 252
DYN2 6 16
SNX41 9 86
YDR426C 4 11
RPN9 1 0
BNA7 8 141
TIF35 1 0
CYM1 26 502
YDR431W 11 131
NPL3 0 0
