gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR042C 5 4
NRG1 20 278
HEM13 1 0
RPC11 2 3
BAP3 58 888
HEM12 3 18
YDR048C 25 170
VMS1 4 4
TPI1 0 0
DET1 53 964
DBF4 1 0
YDR053W 0 0
CDC34 6 24
PST1 37 289
YDR056C 27 340
YOS9 28 218
TGL2 23 341
UBC5 16 187
MAK21 23 214
YDR061W 62 718
LCB2 0 0
AIM7 10 138
RPS13 0 0
RRG1 2 3
RTR2 21 217
OCA6 31 972
DOS2 24 284
DOA4 1 0
FMP16 4 25
PAA1 12 188
IPT1 74 1222
SNF11 30 504
TPS2 7 58
PPH3 11 67
RAD55 32 315
SED1 24 166
SHU2 23 331
PET100 5 36
TFB5 1 0
VPS41 1 0
PDC2 3 12
STN1 1 0
RRP8 18 159
TVP23 13 60
AFR1 42 560
SSS1 1 0
RRP1 2 1
SLU7 8 52
YDR089W 64 1092
YDR090C 23 308
RLI1 0 0
UBC13 29 559
DNF2 276 5586
YDR094W 84 1738
YDR095C 70 642
GIS1 58 568
MSH6 56 635
GRX3 22 119
BMH2 59 689
TVP15 28 432
ARX1 25 286
YDR102C 22 215
STE5 35 233
SPO71 62 975
TMS1 29 265
ARP10 37 403
TMN2 43 455
TRS85 19 127
YDR109C 30 199
FOB1 34 851
ALT2 43 505
IRC2 16 242
PDS1 9 38
YDR114C 19 296
YDR115W 0 0
MRPL1 19 137
TMA64 15 120
APC4 28 306
YDR118W-A 7 49
VBA4 62 600
COX26 6 70
TRM1 39 284
DPB4 15 122
KIN1 41 513
INO2 1 0
YDR124W 24 353
ECM18 20 153
SWF1 22 235
ARO1 11 95
MTC5 79 1105
SAC6 2 1
FIN1 10 55
YDR131C 32 291
YDR132C 26 403
YDR133C 0 0
YCF1 35 555
VPS61 50 845
RGP1 17 144
HPR1 32 489
RUB1 7 11
MTQ2 7 33
DOP1 0 0
PEX7 25 382
SAN1 67 1199
MKC7 23 299
TAF12 3 8
SWI5 42 604
EKI1 31 224
KGD2 23 338
YDR149C 6 22
NUM1 38 715
CTH1 24 143
GIR2 13 121
ENT5 25 279
YDR154C 9 143
CPR1 16 310
RPA14 19 124
YDR157W 50 481
HOM2 5 26
SAC3 25 318
SSY1 0 0
YDR161W 6 6
NBP2 8 45
CWC15 15 204
SEC1 4 47
TRM82 38 263
SEC5 42 463
TAF10 1 0
CDC37 1 0
STB3 12 133
YDR169C-A 2 2
SEC7 12 73
HSP42 11 36
SUP35 1 0
ARG82 1 0
HMO1 21 387
RSM24 1 0
NGG1 10 37
UBC1 2 5
SDH4 15 141
CSN9 8 61
YDR179W-A 21 197
SCC2 0 0
SAS4 30 549
CDC1 0 0
YDR182W-A 5 24
PLP1 10 153
YDR183C-A 9 74
ATC1 14 118
UPS3 12 65
YDR186C 46 857
YDR187C 11 59
CCT6 2 2
SLY1 2 1
RVB1 0 0
HST4 26 433
NUP42 28 485
YDR193W 9 111
MSS116 3 2
YDR194W-A 1 0
REF2 16 52
CAB5 3 4
CBS2 0 0
RKM2 13 77
YDR199W 5 27
VPS64 13 77
SPC19 2 1
RAV2 13 92
YDR203W 5 21
COQ4 7 63
MSC2 34 583
EBS1 48 648
UME6 33 277
MSS4 8 34
YDR209C 7 7
YDR210W 7 7
GCD6 3 7
TCP1 1 0
UPC2 78 915
AHA1 36 376
YDR215C 64 989
ADR1 42 421
RAD9 12 196
SPR28 25 289
MFB1 3 11
YDR220C 20 181
GTB1 71 1117
YDR222W 28 125
CRF1 37 522
HTB1 1 0
HTA1 8 47
ADK1 2 2
SIR4 51 383
PCF11 1 0
IVY1 60 525
YDR230W 15 137
COX20 11 117
HEM1 5 5
RTN1 17 137
LYS4 7 46
PRP42 2 2
FMN1 2 2
MRPL7 0 0
SEC26 4 7
YDR239C 76 1004
SNU56 19 76
BUD26 23 194
AMD2 24 526
PRP28 0 0
