gene_name number_of_transposon_per_gene number_of_read_per_gene
CYK3 21 538
NUP84 3 35
IWR1 21 683
YDL114W-A 0 0
YDL114W 19 410
ATG20 21 209
TRM3 51 1395
RRP42 3 6
TMA17 12 405
YDL109C 69 1956
KIN28 3 9
MSS2 19 406
PHO2 18 114
NSE4 2 20
QRI7 17 243
QRI1 4 11
POL3 4 322
DUN1 23 191
GET3 10 123
BUG1 20 600
SNU23 2 13
RPN6 1 0
OPI6 11 198
PMT1 34 907
YDL094C 24 785
PMT5 52 1086
SRP14 8 86
UBX3 28 633
RAM1 7 26
NUR1 26 558
ASM4 30 599
LUC7 11 82
YDL086W 29 743
YDL086C-A 14 418
YDL085C-A 10 347
NDE2 39 1594
SUB2 1 0
RPS16B 12 129
RPL13A 5 11
RPP1A 1 0
THI3 30 507
MRK1 52 1264
MDH3 29 225
VAM6 4 67
RXT3 19 156
RPL31A 1 0
BRE1 5 8
YDL073W 64 2272
YET3 16 58
YDL071C 47 320
BDF2 41 667
CBS1 7 49
YDL068W 2 1
COX9 1 0
IDP1 34 543
PEX19 32 337
UBC9 0 0
SYO1 22 210
YDL062W 1 0
RPS29B 3 14
TSR1 2 9
RAD59 24 340
USO1 43 1122
YDL057W 46 1289
MBP1 43 994
PSA1 1 0
MCH1 50 1686
PBP4 21 416
SLC1 34 904
LHP1 35 379
YDL050C 15 82
KNH1 60 1874
STP4 71 1970
SIT4 4 10
NPC2 25 380
MRP10 6 22
FAD1 2 1
MTF2 9 35
PRP11 3 19
SIR2 45 1128
YDL041W 11 77
NAT1 34 975
PRM7 38 441
BSC1 20 268
PUS9 43 759
GPR1 53 1224
YDL034W 6 117
SLM3 40 727
YDL032W 7 79
DBP10 3 34
PRP9 9 92
ARP2 3 7
MPS1 16 381
YDL027C 31 364
YDL026W 8 36
RTK1 40 662
YDL025W-A 2 13
DIA3 41 946
YDL022C-A 16 368
YDL023C 15 138
GPD1 53 1015
GPM2 56 1906
RPN4 50 894
OSH2 189 8730
ERP3 22 506
CDC7 12 121
YDL016C 23 443
TSC13 0 0
NOP1 1 0
SLX5 19 71
YDL012C 38 1131
YDL011C 29 588
GRX6 50 1092
YDL009C 15 86
APC11 14 549
YDL007C-A 14 211
RPT2 0 0
PTC1 1 0
MED2 81 1352
ATP16 3 16
MCD1 10 59
NHP10 42 712
RMD1 143 7413
NTH1 172 5066
YRB1 4 13
RCR2 98 3089
