gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR282C 11 135
GCN2 40 431
DPP1 22 160
ZIP1 23 281
YDR286C 9 70
INM2 17 156
NSE3 5 33
RTT103 7 45
YDR290W 18 92
HRQ1 36 481
SRP101 0 0
SSD1 41 545
DPL1 1 0
HDA2 33 203
MHR1 8 48
SUR2 14 80
ATP5 3 9
BFR2 0 0
PRO1 2 1
CFT1 1 0
GPI11 0 0
RSC3 4 3
CPR5 9 113
HNT2 9 96
YDR306C 18 367
PMT7 24 261
SRB7 3 12
GIC2 20 139
SUM1 24 200
TFB1 4 14
SSF2 32 616
PIB1 22 127
RAD34 26 472
IPK1 1 0
OMS1 25 164
HIM1 13 115
MCM21 9 40
YFT2 8 95
SWA2 6 11
DAD4 0 0
YDR320W-B 19 280
ASP1 12 67
MRPL35 11 62
TIM11 8 18
PEP7 8 74
UTP4 5 14
YCG1 4 6
YSP2 41 349
YDR327W 3 9
SKP1 2 6
PEX3 22 518
UBX5 21 127
GPI8 1 0
IRC3 22 81
RQC1 21 150
SWR1 46 508
MSN5 14 82
YDR336W 21 229
MRPS28 9 53
YDR338C 46 646
FCF1 0 0
YDR340W 18 232
YDR341C 0 0
HXT7 1 0
HXT6 2 9
YDR344C 31 559
HXT3 22 218
SVF1 26 445
MRP1 7 16
PAL1 35 444
YPS7 33 379
ATP22 12 85
SBE2 23 312
YPQ2 27 257
TRR1 3 3
TRP4 16 216
YDR354C-A 1 0
YDR355C 0 0
SPC110 2 1
CNL1 27 144
GGA1 18 249
EAF1 15 99
OPI7 3 3
BCP1 0 0
TFC6 3 4
ESC2 33 335
SEM1 3 3
CDC40 1 0
ESF1 3 3
YDR366C 9 326
KEI1 1 0
YPR1 13 79
XRS2 30 272
DXO1 27 133
CTS2 25 374
YDR371C-A 0 0
VPS74 2 3
FRQ1 0 0
PHO92 14 112
WIP1 0 0
BCS1 28 341
ARH1 2 5
ATP17 6 33
LSM6 1 0
RGA2 43 560
SDH6 11 81
ARO10 40 493
YRA1 2 1
YDR381C-A 1 0
RPP2B 2 1
NKP1 16 78
ATO3 20 224
EFT2 4 3
MUS81 48 516
YDR387C 23 243
RVS167 15 120
SAC7 35 340
UBA2 9 154
YDR391C 12 109
SPT3 9 85
SHE9 38 416
RPT3 0 0
SXM1 23 181
YDR396W 5 5
NCB2 4 4
UTP5 6 13
HPT1 10 54
URH1 28 513
YDR401W 21 239
DIT2 38 622
DIT1 43 669
RPB7 0 0
MRP20 38 636
PDR15 176 3185
YDR406W-A 3 2
TRS120 2 1
ADE8 0 0
SIZ1 35 211
STE14 22 458
DFM1 23 308
RRP17 7 12
YDR413C 7 12
ERD1 25 185
YDR415C 12 145
SYF1 11 48
YDR417C 0 0
RPL12B 0 0
RAD30 25 225
HKR1 44 383
ARO80 48 356
