gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR114C 27 174
YDR115W 16 76
MRPL1 27 124
TMA64 10 71
APC4 24 157
YDR118W-A 6 22
VBA4 94 567
COX26 16 88
TRM1 98 691
DPB4 20 61
KIN1 96 723
INO2 62 366
YDR124W 41 288
ECM18 44 259
SWF1 118 1046
ARO1 135 908
MTC5 140 1036
SAC6 40 172
FIN1 33 252
YDR131C 60 361
YDR132C 62 291
YDR133C 4 5
YCF1 122 619
VPS61 60 814
RGP1 47 188
HPR1 33 202
RUB1 11 35
MTQ2 27 167
DOP1 12 51
PEX7 28 239
SAN1 49 247
MKC7 44 304
TAF12 8 13
SWI5 45 220
EKI1 50 321
KGD2 65 296
YDR149C 20 78
NUM1 116 758
CTH1 49 256
GIR2 24 171
ENT5 32 220
YDR154C 19 85
CPR1 23 128
RPA14 39 439
YDR157W 73 437
HOM2 45 215
SAC3 63 355
SSY1 3 2
YDR161W 14 64
NBP2 12 54
CWC15 20 68
SEC1 11 28
TRM82 63 319
SEC5 60 321
TAF10 8 27
CDC37 12 33
STB3 39 214
YDR169C-A 6 42
SEC7 20 97
HSP42 47 412
SUP35 5 7
ARG82 23 71
HMO1 51 553
RSM24 32 148
NGG1 46 266
UBC1 2 1
SDH4 14 63
CSN9 8 17
YDR179W-A 30 160
SCC2 3 2
SAS4 41 260
CDC1 1 0
YDR182W-A 14 69
PLP1 27 208
YDR183C-A 8 23
ATC1 18 121
UPS3 24 95
YDR186C 104 756
YDR187C 18 111
CCT6 5 26
SLY1 4 4
RVB1 0 0
HST4 25 114
NUP42 35 178
YDR193W 17 102
MSS116 43 259
YDR194W-A 5 10
REF2 42 256
CAB5 14 52
CBS2 32 102
RKM2 46 245
YDR199W 25 132
VPS64 30 193
SPC19 0 0
RAV2 24 119
YDR203W 11 35
COQ4 24 167
MSC2 57 296
EBS1 66 383
UME6 101 815
MSS4 39 268
YDR209C 15 35
YDR210W 10 27
GCD6 4 20
TCP1 1 0
UPC2 94 509
AHA1 55 361
YDR215C 100 834
ADR1 75 460
RAD9 100 554
SPR28 38 180
MFB1 22 55
YDR220C 42 169
GTB1 84 464
YDR222W 31 221
CRF1 36 88
HTB1 3 6
HTA1 8 9
ADK1 2 1
SIR4 76 397
PCF11 4 11
IVY1 96 548
YDR230W 33 245
COX20 48 332
HEM1 9 40
RTN1 27 115
LYS4 75 648
PRP42 7 15
FMN1 18 78
MRPL7 15 39
SEC26 2 1
YDR239C 84 593
SNU56 27 143
BUD26 29 294
AMD2 44 302
PRP28 19 59
